mean_test_MCC,mean_test_AUC_PR,mean_test_AUC_ROC,mean_test_Class0_F1,mean_test_TN,mean_test_FP,mean_test_TP,mean_test_FN,params
0.5642364890064014,0.999965461792234,0.9959197904757886,0.5006817620895709,1289.0,61.6,162539.6,2509.8,"{'subsample': 1.0, 'scale_pos_weight': 0.004091502301735117, 'n_estimators': 1000, 'max_depth': 6, 'max_delta_step': 1, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.7}"
0.6068157658599946,0.9999653600572043,0.995960998975679,0.5610308154689115,1254.6,96.0,163181.4,1868.0,"{'subsample': 0.9, 'scale_pos_weight': 0.01636600920694047, 'n_estimators': 1000, 'max_depth': 6, 'max_delta_step': 1, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.9}"
0.522004746794368,0.9999549770168107,0.9947846773916404,0.44776352720682394,1283.8,66.8,161948.8,3100.6,"{'subsample': 0.9, 'scale_pos_weight': 0.01636600920694047, 'n_estimators': 500, 'max_depth': 5, 'max_delta_step': 0, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.9}"
0.46225933610200254,0.9999545453824666,0.9946721547513606,0.3672547588486359,1312.8,37.8,160563.0,4486.4,"{'subsample': 0.7, 'scale_pos_weight': 0.004091502301735117, 'n_estimators': 200, 'max_depth': 5, 'max_delta_step': 1, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 0.7}"
0.46643529288906427,0.9999523861248696,0.9944497449713537,0.3734957681964043,1306.8,43.8,160707.8,4341.6,"{'subsample': 1.0, 'scale_pos_weight': 0.008183004603470235, 'n_estimators': 500, 'max_depth': 5, 'max_delta_step': 0, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.7}"
